ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
11382044;96393994;0f27a2c5-7ccf-4112-afde-d17102dbb62c;145843424;7/1;10;0;74170976;2025-09-29;2020-04-20;2025-09-29;0;0
11382063;96394013;45097670-f744-41cd-b53e-129bd32cce18;145843443;7;10;0;74170061;2025-09-29;2020-04-20;2025-09-29;0;0
71988188;170905626;15f111e3-b8c5-4625-b048-51e271f6e2b1;642416992;3/1;10;0;74162472;2025-09-29;2025-03-12;2025-09-29;0;0
71988189;170905627;5dca134a-944d-4487-b01e-30f953723670;642416993;3/2;10;0;74162473;2025-09-29;2025-03-12;2025-09-29;0;0
74162490;174909147;5a6bb806-7c4c-4825-8602-54e4e28157dc;689623244;3/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74162492;99553607;541d721b-2e11-440c-a348-3156c51f5b75;689623248;21;60;13151998;;2025-09-29;2025-09-29;2079-06-06;1;0
74162494;174909151;e0eb3604-1053-49ab-9bf0-3adfcb928fb4;689623250;21/1;61;74162492;0;2025-09-29;2025-09-29;2079-06-06;1;1
69443643;166446490;272560f2-f376-490e-8209-eec4e57931d9;604931405;1;10;0;74162495;2025-09-29;2024-10-18;2025-09-29;0;0
74162497;174909153;43be7305-6bc3-4178-9f04-18376c89d0f8;689623253;7;61;74162495;0;2025-09-29;2025-09-29;2079-06-06;1;1
74162499;174909155;3468f80d-97b0-4fc3-8d9f-2e9a62180cd4;689623255;6;61;74162495;0;2025-09-29;2025-09-29;2079-06-06;1;1
74162501;174909157;d7a9d3b8-b84b-45c3-bd9c-e54142f8a529;689623257;4;61;74162495;0;2025-09-29;2025-09-29;2079-06-06;1;1
74162503;174909159;aab268ca-0576-4361-acbb-fbe85c7b7e88;689623259;1/2;61;74162495;0;2025-09-29;2025-09-29;2079-06-06;1;1
74162506;174909164;2b34c873-d8bd-469f-b8a3-82c92d33391c;689623275;44;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74162508;174909168;f88050da-dcc4-4cd7-80ef-9c00b35f36a4;689623279;Л157/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165409;174913216;4bd1ec17-8386-4bf9-a448-18b0567ef333;689632892;14;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165411;174913218;e29b34d0-2ba3-4927-b721-3cb0bb0aa8c6;689632894;12;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165413;174913220;588d313b-b904-4bd1-b028-756ba28f38ee;689632896;10;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165415;174913222;59015d80-70c3-4eaa-abda-9ed2f61d14fd;689632898;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165417;174913224;e0ba8a2b-87fa-42a5-99f1-7fcb4971238c;689632900;6;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165419;174913226;ab27bb04-c12a-4ed3-9800-f5d37707c908;689632902;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74170976;96393994;0f27a2c5-7ccf-4112-afde-d17102dbb62c;689653082;7/1;30;11382044;0;2025-09-29;2025-09-29;2079-06-06;1;0
74172467;174929090;a9cf5ce9-0b7f-408e-b18c-d053457bc36c;689666919;12;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172469;174929092;7ad6dac9-4ad8-403c-8813-1077818fed60;689666921;10;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172529;174929214;70a6c1f6-948a-4ecf-9c1f-4972a8271887;689667099;11А;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172574;174929266;9f834336-37a0-4278-ab4e-d41d6d4001dd;689667209;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172609;174929317;72f6747c-9c19-487a-87a3-60c8955a442d;689667317;23;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74184303;174951391;b0758582-ba49-44aa-9b30-2cfd439ba8ef;689712301;1/1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185390;174952953;2b3313de-3cac-4e10-b0c7-ddf20cae960b;689718483;58;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74196767;174971352;9d723133-8524-4122-a88c-f16aa3ff568b;689778568;9А;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74196759;174971338;6cf62f33-ffbd-4455-9634-719214c8ad63;689778537;5;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74196764;174971347;eb19863f-c459-44ca-b560-6e9853791be1;689778561;32;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74196766;174971350;e59ff4ea-5fe2-44d9-86a3-b171f466df74;689778565;108/4;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
