ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;ROOMTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
50687498;174913713;2f2fc647-faf1-4e80-a4f2-d8eb39f339fd;689633958;170;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
50687644;18742321;19eb8513-9ba2-4501-b653-c56f72e09a1c;689720374;6;1;30;98531;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687645;18742794;6b32eb83-1ff8-4203-8595-62a7ad1a17f7;689720375;2;1;30;98541;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687646;18742827;8f5237b3-f548-4031-99a9-1c4812953feb;689720376;3;1;30;98544;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687647;18742886;adc21876-a375-436e-88ba-3663491717f1;689720377;7;1;30;98545;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687648;18742896;b4b5290b-2c1b-43b3-9f0e-35ba776a62f9;689720378;9;1;30;98546;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687649;18742934;ff9b8f83-8c9f-42a9-9574-65e5133046f6;689720379;5;1;30;98550;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687650;18777500;0e443b08-dd0f-43fa-abf7-c415b66f8645;689722805;6;1;30;98762;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687651;18777659;13b9be7e-f7a6-4ce2-b37d-7cb7933eb280;689722806;5;1;30;98764;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687652;18777667;3dcd8422-dd1b-4075-a422-d8c928b7b55a;689722807;10;1;30;98765;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687653;18777672;46d474b0-cf2e-4532-a9fb-a9ecf205db35;689722808;12;1;30;98766;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687654;18777675;99785b22-050e-4218-a464-dc5404ff04dd;689722809;15;1;30;98767;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687655;18777676;ae51125e-d51f-4b78-937d-0a944ed65f7c;689722810;7;1;30;98768;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687656;18777677;b9d16cab-5486-400f-9225-2ca21e817dea;689722811;13;1;30;98769;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687657;18777679;bb187f93-c6ed-4494-baf7-fcbefeb779f6;689722812;14;1;30;98770;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687658;18777688;e6fe9d4e-0440-4d79-af9f-c88829f3c6a0;689722813;4;1;30;98771;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687659;18777689;e792f20d-6d2d-4e03-92db-d4d6251e7554;689722814;11;1;30;98772;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687660;18777692;f0fb4553-5d0d-47e9-8820-210f9d2d50ee;689722815;9;1;30;98773;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687661;18777695;fcc80101-dc20-4896-a66a-806d4ff28f91;689722816;8;1;30;98774;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687665;73646266;335615c7-42e6-44a4-bd89-64f5c22b3189;689723097;2;1;30;416042;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687666;73646545;e0d36ce0-0b00-4380-928a-21ee36169a39;689723098;1;1;30;416049;0;2025-09-30;2025-09-30;2079-06-06;1;0
50687806;174984587;222097e7-c641-4db2-8dc5-bca69244c7da;689806327;2;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
